data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
1/5/2025,2022,12,Region 3,Fentanyl,12/31/2022,9535,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,1,Region 3,Fentanyl,1/31/2023,9570,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,2,Region 3,Fentanyl,2/28/2023,9550,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,3,Region 3,Fentanyl,3/31/2023,9587,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,4,Region 3,Fentanyl,4/30/2023,9643,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,5,Region 3,Fentanyl,5/31/2023,9687,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,6,Region 3,Fentanyl,6/30/2023,9686,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,7,Region 3,Fentanyl,7/31/2023,9710,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,8,Region 3,Fentanyl,8/31/2023,9565,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,9,Region 3,Fentanyl,9/30/2023,9486,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,10,Region 3,Fentanyl,10/31/2023,9420,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,11,Region 3,Fentanyl,11/30/2023,9273,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2023,12,Region 3,Fentanyl,12/31/2023,9080,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2024,1,Region 3,Fentanyl,1/31/2024,8798,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2024,2,Region 3,Fentanyl,2/29/2024,8611,"North Carolina, South Carolina, Georgia, Florida"
1/5/2025,2024,3,Region 3,Fentanyl,3/31/2024,8263,"North Carolina, South Carolina, Georgia, Florida"
