data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,month_ending_date,drug_overdose_deaths,states
2025-01-05,2022,2,United States,Heroin,2022-02-28,8938.0,
2025-01-05,2022,2,United States,Methamphetamine,2022-02-28,32151.0,
2025-01-05,2022,2,United States,Oxycodone,2022-02-28,4997.0,
2025-01-05,2022,2,United States,Xylazine,2022-02-28,4012.0,
2025-01-05,2022,3,United States,Cocaine,2022-03-31,27412.0,
2025-01-05,2022,3,United States,Fentanyl,2022-03-31,71919.0,
2025-01-05,2022,3,United States,Gabapentin,2022-03-31,4295.0,
2025-01-05,2022,3,United States,Heroin,2022-03-31,8502.0,
2025-01-05,2022,3,United States,Methamphetamine,2022-03-31,32281.0,
2025-01-05,2022,3,United States,Oxycodone,2022-03-31,4949.0,
2025-01-05,2022,3,United States,Xylazine,2022-03-31,4139.0,
2025-01-05,2022,4,United States,Cocaine,2022-04-30,27401.0,
2025-01-05,2022,4,United States,Fentanyl,2022-04-30,71572.0,
2025-01-05,2022,4,United States,Gabapentin,2022-04-30,4244.0,
2025-01-05,2022,4,United States,Heroin,2022-04-30,8081.0,
2025-01-05,2022,4,United States,Methamphetamine,2022-04-30,32019.0,
2025-01-05,2022,4,United States,Oxycodone,2022-04-30,4847.0,
2025-01-05,2022,4,United States,Xylazine,2022-04-30,4280.0,
2025-01-05,2022,5,United States,Cocaine,2022-05-31,27535.0,
2025-01-05,2022,5,United States,Fentanyl,2022-05-31,71424.0,
2025-01-05,2022,5,United States,Gabapentin,2022-05-31,4239.0,
2025-01-05,2022,5,United States,Heroin,2022-05-31,7729.0,
2025-01-05,2022,5,United States,Methamphetamine,2022-05-31,31961.0,
2025-01-05,2022,5,United States,Oxycodone,2022-05-31,4761.0,
2025-01-05,2022,5,United States,Xylazine,2022-05-31,4371.0,
2025-01-05,2022,6,United States,Cocaine,2022-06-30,27693.0,
2025-01-05,2022,6,United States,Fentanyl,2022-06-30,71407.0,
2025-01-05,2022,6,United States,Gabapentin,2022-06-30,4256.0,
2025-01-05,2022,6,United States,Heroin,2022-06-30,7465.0,
2025-01-05,2022,6,United States,Methamphetamine,2022-06-30,32098.0,
2025-01-05,2022,6,United States,Oxycodone,2022-06-30,4694.0,
2025-01-05,2022,6,United States,Xylazine,2022-06-30,4417.0,
2025-01-05,2022,7,United States,Cocaine,2022-07-31,27864.0,
2025-01-05,2022,7,United States,Fentanyl,2022-07-31,71671.0,
2025-01-05,2022,7,United States,Gabapentin,2022-07-31,4235.0,
2025-01-05,2022,7,United States,Heroin,2022-07-31,7131.0,
2025-01-05,2022,7,United States,Methamphetamine,2022-07-31,32318.0,
2025-01-05,2022,7,United States,Oxycodone,2022-07-31,4688.0,
2025-01-05,2022,7,United States,Xylazine,2022-07-31,4487.0,
2025-01-05,2022,8,United States,Cocaine,2022-08-31,28036.0,
2025-01-05,2022,8,United States,Fentanyl,2022-08-31,71858.0,
2025-01-05,2022,8,United States,Gabapentin,2022-08-31,4242.0,
2025-01-05,2022,8,United States,Heroin,2022-08-31,6829.0,
2025-01-05,2022,8,United States,Methamphetamine,2022-08-31,32276.0,
2025-01-05,2022,8,United States,Oxycodone,2022-08-31,4569.0,
2025-01-05,2022,8,United States,Xylazine,2022-08-31,4554.0,
2025-01-05,2022,9,United States,Cocaine,2022-09-30,28260.0,
2025-01-05,2022,9,United States,Fentanyl,2022-09-30,71894.0,
2025-01-05,2022,9,United States,Gabapentin,2022-09-30,4275.0,
2025-01-05,2022,9,United States,Heroin,2022-09-30,6566.0,
2025-01-05,2022,9,United States,Methamphetamine,2022-09-30,32333.0,
2025-01-05,2022,9,United States,Oxycodone,2022-09-30,4537.0,
2025-01-05,2022,9,United States,Xylazine,2022-09-30,4563.0,
2025-01-05,2022,10,United States,Cocaine,2022-10-31,28581.0,
2025-01-05,2022,10,United States,Fentanyl,2022-10-31,72457.0,
2025-01-05,2022,10,United States,Gabapentin,2022-10-31,4314.0,
2025-01-05,2022,10,United States,Heroin,2022-10-31,6306.0,
2025-01-05,2022,10,United States,Methamphetamine,2022-10-31,32502.0,
2025-01-05,2022,10,United States,Oxycodone,2022-10-31,4539.0,
2025-01-05,2022,10,United States,Xylazine,2022-10-31,4640.0,
2025-01-05,2022,11,United States,Cocaine,2022-11-30,28909.0,
2025-01-05,2022,11,United States,Fentanyl,2022-11-30,73083.0,
2025-01-05,2022,11,United States,Gabapentin,2022-11-30,4332.0,
2025-01-05,2022,11,United States,Heroin,2022-11-30,6124.0,
2025-01-05,2022,11,United States,Methamphetamine,2022-11-30,32756.0,
2025-01-05,2022,11,United States,Oxycodone,2022-11-30,4514.0,
2025-01-05,2022,11,United States,Xylazine,2022-11-30,4730.0,
2025-01-05,2022,12,United States,Cocaine,2022-12-31,29340.0,
2025-01-05,2022,12,United States,Fentanyl,2022-12-31,73820.0,
2025-01-05,2022,12,United States,Gabapentin,2022-12-31,4348.0,
2025-01-05,2022,12,United States,Heroin,2022-12-31,5976.0,
2025-01-05,2022,12,United States,Methamphetamine,2022-12-31,33278.0,
2025-01-05,2022,12,United States,Oxycodone,2022-12-31,4507.0,
2025-01-05,2022,12,United States,Xylazine,2022-12-31,4819.0,
2025-01-05,2023,1,United States,Cocaine,2023-01-31,29745.0,
2025-01-05,2023,1,United States,Fentanyl,2023-01-31,74373.0,
2025-01-05,2023,1,United States,Gabapentin,2023-01-31,4303.0,
2025-01-05,2023,1,United States,Heroin,2023-01-31,5707.0,
2025-01-05,2023,1,United States,Methamphetamine,2023-01-31,33513.0,
2025-01-05,2023,1,United States,Oxycodone,2023-01-31,4453.0,
2025-01-05,2023,1,United States,Xylazine,2023-01-31,4853.0,
2025-01-05,2023,2,United States,Cocaine,2023-02-28,29956.0,
2025-01-05,2023,2,United States,Fentanyl,2023-02-28,74497.0,
2025-01-05,2023,2,United States,Gabapentin,2023-02-28,4324.0,
2025-01-05,2023,2,United States,Heroin,2023-02-28,5529.0,
2025-01-05,2023,2,United States,Methamphetamine,2023-02-28,33662.0,
2025-01-05,2023,2,United States,Oxycodone,2023-02-28,4412.0,
2025-01-05,2023,2,United States,Xylazine,2023-02-28,4970.0,
2025-01-05,2023,3,United States,Cocaine,2023-03-31,30280.0,
2025-01-05,2023,3,United States,Fentanyl,2023-03-31,74880.0,
2025-01-05,2023,3,United States,Gabapentin,2023-03-31,4317.0,
2025-01-05,2023,3,United States,Heroin,2023-03-31,5355.0,
2025-01-05,2023,3,United States,Methamphetamine,2023-03-31,33866.0,
2025-01-05,2023,3,United States,Oxycodone,2023-03-31,4389.0,
2025-01-05,2023,3,United States,Xylazine,2023-03-31,5055.0,
2025-01-05,2023,4,United States,Cocaine,2023-04-30,30673.0,
2025-01-05,2023,4,United States,Fentanyl,2023-04-30,75530.0,
2025-01-05,2023,4,United States,Gabapentin,2023-04-30,4377.0,
2025-01-05,2023,4,United States,Heroin,2023-04-30,5235.0,
2025-01-05,2023,4,United States,Methamphetamine,2023-04-30,34302.0,
2025-01-05,2023,4,United States,Oxycodone,2023-04-30,4400.0,
2025-01-05,2023,4,United States,Xylazine,2023-04-30,5129.0,
2025-01-05,2023,5,United States,Cocaine,2023-05-31,31111.0,
2025-01-05,2023,5,United States,Fentanyl,2023-05-31,76202.0,
2025-01-05,2023,5,United States,Gabapentin,2023-05-31,4354.0,
2025-01-05,2023,5,United States,Heroin,2023-05-31,5095.0,
2025-01-05,2023,5,United States,Methamphetamine,2023-05-31,34635.0,
2025-01-05,2023,5,United States,Oxycodone,2023-05-31,4400.0,
2025-01-05,2023,5,United States,Xylazine,2023-05-31,5257.0,
2025-01-05,2023,6,United States,Cocaine,2023-06-30,31497.0,
2025-01-05,2023,6,United States,Fentanyl,2023-06-30,76522.0,
2025-01-05,2023,6,United States,Gabapentin,2023-06-30,4358.0,
